"","township","matrix","product","wood_type","cords","HWratio","SWratio","acres"
"36","T10R10","H3C-N","BFp","SW",1.5,0,0.0157068062827225,16.8
"37","T10R10","HS3D-N","BFp","SW",0,0,0,8.9
"38","T10R10","HS3D-N","BFp","SW",0,0,0,8.9
"39","T10R10","SH3C-N","BFp","SW",1.1,0,0.00795372378886479,10.6
"40","T10R10","SH3C-N","BFp","SW",1.1,0,0.00795372378886479,10.6
"41","T10R10","H1A-N","CEl","SW",0,0,0,79.6
"42","T10R10","H1A-N","CEl","SW",0,0,0,79.6
"43","T10R10","H2A-N","CEl","SW",5,0,0.118764845605701,9.3
"44","T10R10","H2A-N","CEl","SW",5,0,0.118764845605701,9.3
"45","T10R10","H3C-N","CEl","SW",7.2,0,0.0753926701570681,16.8
"46","T10R10","H3C-N","CEl","SW",7.2,0,0.0753926701570681,16.8
"47","T10R10","HS3D-N","CEl","SW",14.2,0,0.160270880361174,8.9
"48","T10R10","HS3D-N","CEl","SW",14.2,0,0.160270880361174,8.9
"49","T10R10","SH3C-N","CEl","SW",15.2,0,0.109906001446132,10.6
"50","T10R10","SH3C-N","CEl","SW",15.2,0,0.109906001446132,10.6
"51","T10R10","H1A-N","CEp","SW",0,0,0,79.6
"52","T10R10","H1A-N","CEp","SW",0,0,0,79.6
"53","T10R10","H2A-N","CEp","SW",2.4,0,0.0570071258907363,9.3
"54","T10R10","H2A-N","CEp","SW",2.4,0,0.0570071258907363,9.3
"55","T10R10","H3C-N","CEp","SW",8.4,0,0.0879581151832461,16.8
"56","T10R10","H3C-N","CEp","SW",8.4,0,0.0879581151832461,16.8
"57","T10R10","HS3D-N","CEp","SW",13.2,0,0.148984198645598,8.9
"58","T10R10","HS3D-N","CEp","SW",13.2,0,0.148984198645598,8.9
"59","T10R10","SH3C-N","CEp","SW",6.1,0,0.0441070137382502,10.6
"60","T10R10","SH3C-N","CEp","SW",6.1,0,0.0441070137382502,10.6
"61","T10R10","H1A-N","HVl","HW",50.2,0.183345507669832,0,79.6
"62","T10R10","H1A-N","HVl","HW",50.2,0.183345507669832,0,79.6
"63","T10R10","H2A-N","HVl","HW",14.3,0.137236084452975,0,9.3
"64","T10R10","H2A-N","HVl","HW",14.3,0.137236084452975,0,9.3
"65","T10R10","H3C-N","HVl","HW",22.4,0.104967197750703,0,16.8
"66","T10R10","H3C-N","HVl","HW",22.4,0.104967197750703,0,16.8
"67","T10R10","HS3D-N","HVl","HW",7.6,0.262975778546713,0,8.9
"68","T10R10","HS3D-N","HVl","HW",7.6,0.262975778546713,0,8.9
"69","T10R10","SH3C-N","HVl","HW",23.4,0.170927684441198,0,10.6
"70","T10R10","SH3C-N","HVl","HW",23.4,0.170927684441198,0,10.6
"71","T10R10","H1A-N","HVp","HW",32.9,0.120160701241782,0,79.6
"72","T10R10","H1A-N","HVp","HW",32.9,0.120160701241782,0,79.6
"73","T10R10","H2A-N","HVp","HW",55.5,0.532629558541267,0,9.3
"74","T10R10","H2A-N","HVp","HW",55.5,0.532629558541267,0,9.3
"75","T10R10","H3C-N","HVp","HW",109.7,0.514058106841612,0,16.8
"76","T10R10","H3C-N","HVp","HW",109.7,0.514058106841612,0,16.8
"77","T10R10","HS3D-N","HVp","HW",9.8,0.339100346020761,0,8.9
"78","T10R10","HS3D-N","HVp","HW",9.8,0.339100346020761,0,8.9
"79","T10R10","SH3C-N","HVp","HW",59.7,0.436084733382031,0,10.6
"80","T10R10","SH3C-N","HVp","HW",59.7,0.436084733382031,0,10.6
"81","T10R10","H1A-N","HVt","HW",63.3,0.231190650109569,0,79.6
"82","T10R10","H1A-N","HVt","HW",63.3,0.231190650109569,0,79.6
"83","T10R10","H2A-N","HVt","HW",11.5,0.110364683301344,0,9.3
"84","T10R10","H2A-N","HVt","HW",11.5,0.110364683301344,0,9.3
"85","T10R10","H3C-N","HVt","HW",26.9,0.126054358013121,0,16.8
"86","T10R10","H3C-N","HVt","HW",26.9,0.126054358013121,0,16.8
"87","T10R10","HS3D-N","HVt","HW",9.4,0.325259515570934,0,8.9
"88","T10R10","HS3D-N","HVt","HW",9.4,0.325259515570934,0,8.9
"89","T10R10","SH3C-N","HVt","HW",30.6,0.223520818115413,0,10.6
"90","T10R10","SH3C-N","HVt","HW",30.6,0.223520818115413,0,10.6
"91","T10R10","H1A-N","LVl","HW",110.3,0.402848794740687,0,79.6
"92","T10R10","H1A-N","LVl","HW",110.3,0.402848794740687,0,79.6
"93","T10R10","H2A-N","LVl","HW",18,0.172744721689059,0,9.3
"94","T10R10","H2A-N","LVl","HW",18,0.172744721689059,0,9.3
"95","T10R10","H3C-N","LVl","HW",20.4,0.0955951265229616,0,16.8
"96","T10R10","H3C-N","LVl","HW",20.4,0.0955951265229616,0,16.8
"97","T10R10","HS3D-N","LVl","HW",0,0,0,8.9
"98","T10R10","HS3D-N","LVl","HW",0,0,0,8.9
"99","T10R10","SH3C-N","LVl","HW",15.3,0.111760409057706,0,10.6
"100","T10R10","SH3C-N","LVl","HW",15.3,0.111760409057706,0,10.6
"101","T10R10","H1A-N","LVp","HW",5.5,0.0200876552227904,0,79.6
"102","T10R10","H1A-N","LVp","HW",5.5,0.0200876552227904,0,79.6
"103","T10R10","H2A-N","LVp","HW",0,0,0,9.3
"104","T10R10","H2A-N","LVp","HW",0,0,0,9.3
"105","T10R10","H3C-N","LVp","HW",0.8,0.00374882849109653,0,16.8
"106","T10R10","H3C-N","LVp","HW",0.8,0.00374882849109653,0,16.8
"107","T10R10","HS3D-N","LVp","HW",0,0,0,8.9
"108","T10R10","HS3D-N","LVp","HW",0,0,0,8.9
"109","T10R10","SH3C-N","LVp","HW",0,0,0,10.6
"110","T10R10","SH3C-N","LVp","HW",0,0,0,10.6
"111","T10R10","H1A-N","LVt","HW",5.3,0.0193571950328707,0,79.6
"112","T10R10","H1A-N","LVt","HW",5.3,0.0193571950328707,0,79.6
"113","T10R10","H2A-N","LVt","HW",0.4,0.00383877159309021,0,9.3
"114","T10R10","H2A-N","LVt","HW",0.4,0.00383877159309021,0,9.3
"115","T10R10","H3C-N","LVt","HW",1.4,0.00656044985941893,0,16.8
"116","T10R10","H3C-N","LVt","HW",1.4,0.00656044985941893,0,16.8
"117","T10R10","HS3D-N","LVt","HW",0,0,0,8.9
"118","T10R10","HS3D-N","LVt","HW",0,0,0,8.9
"119","T10R10","SH3C-N","LVt","HW",1.7,0.012417823228634,0,10.6
"120","T10R10","SH3C-N","LVt","HW",1.7,0.012417823228634,0,10.6
"121","T10R10","H1A-N","OSl","SW",0,0,0,79.6
"122","T10R10","H1A-N","OSl","SW",0,0,0,79.6
"123","T10R10","H2A-N","OSl","SW",2.8,0,0.0665083135391924,9.3
"124","T10R10","H2A-N","OSl","SW",2.8,0,0.0665083135391924,9.3
"125","T10R10","H3C-N","OSl","SW",5.4,0,0.056544502617801,16.8
"126","T10R10","H3C-N","OSl","SW",5.4,0,0.056544502617801,16.8
"127","T10R10","HS3D-N","OSl","SW",2.3,0,0.0259593679458239,8.9
"128","T10R10","HS3D-N","OSl","SW",2.3,0,0.0259593679458239,8.9
"129","T10R10","SH3C-N","OSl","SW",2.6,0,0.0187997107736804,10.6
"130","T10R10","SH3C-N","OSl","SW",2.6,0,0.0187997107736804,10.6
"131","T10R10","H1A-N","OSp","SW",0,0,0,79.6
"132","T10R10","H1A-N","OSp","SW",0,0,0,79.6
"133","T10R10","H2A-N","OSp","SW",0.1,0,0.00237529691211401,9.3
"134","T10R10","H2A-N","OSp","SW",0.1,0,0.00237529691211401,9.3
"135","T10R10","H3C-N","OSp","SW",0.8,0,0.00837696335078534,16.8
"136","T10R10","H3C-N","OSp","SW",0.8,0,0.00837696335078534,16.8
"137","T10R10","HS3D-N","OSp","SW",1.1,0,0.0124153498871332,8.9
"138","T10R10","HS3D-N","OSp","SW",1.1,0,0.0124153498871332,8.9
"139","T10R10","SH3C-N","OSp","SW",3.6,0,0.0260303687635575,10.6
"140","T10R10","SH3C-N","OSp","SW",3.6,0,0.0260303687635575,10.6
"141","T10R10","H1A-N","SPl","SW",0,0,0,79.6
"142","T10R10","H1A-N","SPl","SW",0,0,0,79.6
"143","T10R10","H2A-N","SPl","SW",19.1,0,0.453681710213777,9.3
"144","T10R10","H2A-N","SPl","SW",19.1,0,0.453681710213777,9.3
"145","T10R10","H3C-N","SPl","SW",37.3,0,0.390575916230366,16.8
"146","T10R10","H3C-N","SPl","SW",37.3,0,0.390575916230366,16.8
"147","T10R10","HS3D-N","SPl","SW",14.7,0,0.165914221218962,8.9
"148","T10R10","HS3D-N","SPl","SW",14.7,0,0.165914221218962,8.9
"149","T10R10","SH3C-N","SPl","SW",62,0,0.448300795372379,10.6
"150","T10R10","SH3C-N","SPl","SW",62,0,0.448300795372379,10.6
"151","T10R10","H1A-N","SPp","SW",0,0,0,79.6
"152","T10R10","H1A-N","SPp","SW",0,0,0,79.6
"153","T10R10","H2A-N","SPp","SW",0.7,0,0.0166270783847981,9.3
"154","T10R10","H2A-N","SPp","SW",0.7,0,0.0166270783847981,9.3
"155","T10R10","H3C-N","SPp","SW",2.7,0,0.0282722513089005,16.8
"156","T10R10","H3C-N","SPp","SW",2.7,0,0.0282722513089005,16.8
"157","T10R10","HS3D-N","SPp","SW",0.5,0,0.00564334085778781,8.9
"158","T10R10","HS3D-N","SPp","SW",0.5,0,0.00564334085778781,8.9
"159","T10R10","SH3C-N","SPp","SW",2.8,0,0.0202458423716558,10.6
"160","T10R10","SH3C-N","SPp","SW",2.8,0,0.0202458423716558,10.6
"161","T10R10","H1A-N","WPl","SW",0,0,0,79.6
"162","T10R10","H1A-N","WPl","SW",0,0,0,79.6
"163","T10R10","H2A-N","WPl","SW",0,0,0,9.3
"164","T10R10","H2A-N","WPl","SW",0,0,0,9.3
"165","T10R10","H3C-N","WPl","SW",4.1,0,0.0429319371727749,16.8
"166","T10R10","H3C-N","WPl","SW",4.1,0,0.0429319371727749,16.8
"167","T10R10","HS3D-N","WPl","SW",3.7,0,0.0417607223476298,8.9
"168","T10R10","HS3D-N","WPl","SW",3.7,0,0.0417607223476298,8.9
"169","T10R10","SH3C-N","WPl","SW",1.6,0,0.0115690527838033,10.6
"170","T10R10","SH3C-N","WPl","SW",1.6,0,0.0115690527838033,10.6
"171","T10R10","H1A-N","WPp","SW",0,0,0,79.6
"172","T10R10","H1A-N","WPp","SW",0,0,0,79.6
"173","T10R10","H2A-N","WPp","SW",0,0,0,9.3
"174","T10R10","H2A-N","WPp","SW",0,0,0,9.3
"175","T10R10","H3C-N","WPp","SW",2.2,0,0.0230366492146597,16.8
"176","T10R10","H3C-N","WPp","SW",2.2,0,0.0230366492146597,16.8
"177","T10R10","HS3D-N","WPp","SW",0.9,0,0.0101580135440181,8.9
"178","T10R10","HS3D-N","WPp","SW",0.9,0,0.0101580135440181,8.9
"179","T10R10","SH3C-N","WPp","SW",0,0,0,10.6
"180","T10R10","SH3C-N","WPp","SW",0,0,0,10.6
"181","T10R10","H1A-N","perAcreHW","Other",3.4,0,0,79.6
"182","T10R10","H1A-N","perAcreHW","Other",3.4,0,0,79.6
"183","T10R10","H2A-N","perAcreHW","Other",11.2,0,0,9.3
"184","T10R10","H2A-N","perAcreHW","Other",11.2,0,0,9.3
"185","T10R10","H3C-N","perAcreHW","Other",12.7,0,0,16.8
"186","T10R10","H3C-N","perAcreHW","Other",12.7,0,0,16.8
"187","T10R10","HS3D-N","perAcreHW","Other",3.2,0,0,8.9
"188","T10R10","HS3D-N","perAcreHW","Other",3.2,0,0,8.9
"189","T10R10","SH3C-N","perAcreHW","Other",13,0,0,10.6
"190","T10R10","SH3C-N","perAcreHW","Other",13,0,0,10.6
"191","T10R10","H1A-N","perAcreSW","Other",0.1,0,0,79.6
"192","T10R10","H1A-N","perAcreSW","Other",0.1,0,0,79.6
"193","T10R10","H2A-N","perAcreSW","Other",4.5,0,0,9.3
"194","T10R10","H2A-N","perAcreSW","Other",4.5,0,0,9.3
"195","T10R10","H3C-N","perAcreSW","Other",5.7,0,0,16.8
"196","T10R10","H3C-N","perAcreSW","Other",5.7,0,0,16.8
"197","T10R10","HS3D-N","perAcreSW","Other",9.9,0,0,8.9
"198","T10R10","HS3D-N","perAcreSW","Other",9.9,0,0,8.9
"199","T10R10","SH3C-N","perAcreSW","Other",13.1,0,0,10.6
"200","T10R10","SH3C-N","perAcreSW","Other",13.1,0,0,10.6
"201","T10R10","H1A-N","Carbon","Other",0,0,0,79.6
"202","T10R10","H1A-N","Carbon","Other",0,0,0,79.6
"203","T10R10","H2A-N","Carbon","Other",0,0,0,9.3
"204","T10R10","H2A-N","Carbon","Other",0,0,0,9.3
"205","T10R10","H3C-N","Carbon","Other",0,0,0,16.8
"206","T10R10","H3C-N","Carbon","Other",0,0,0,16.8
"207","T10R10","HS3D-N","Carbon","Other",0,0,0,8.9
"208","T10R10","HS3D-N","Carbon","Other",0,0,0,8.9
"209","T10R10","SH3C-N","Carbon","Other",0,0,0,10.6
"210","T10R10","SH3C-N","Carbon","Other",0,0,0,10.6
