"","Year","HW_Volume","SW_Volume","Total_Volume","HW_AAC","SW_AAC","Total_AAC","total_growth","hw_growth","sw_growth","township","matrix"
"39",17,10.3147006369427,4.14429936305732,14.459,0.295337579617834,0.118662420382166,0.414,0.414,0.295337579617834,0.118662420382166,"T10R10","H2A-N"
"40",18,10.3147006369427,4.14429936305732,14.459,0.295337579617834,0.118662420382166,0.414,0.414,0.295337579617834,0.118662420382166,"T10R10","H2A-N"
"41",19,10.3147006369427,4.14429936305732,14.459,0.295337579617834,0.118662420382166,0.414,0.414,0.295337579617834,0.118662420382166,"T10R10","H2A-N"
"42",20,10.3147006369427,4.14429936305732,14.459,0.295337579617834,0.118662420382166,0.414,0.414,0.295337579617834,0.118662420382166,"T10R10","H2A-N"
"43",0,12.7,5.7,18.4,NA,NA,NA,NA,NA,NA,"T10R10","H3C-N"
"44",1,12.6299429347826,5.66855706521739,18.2985,0.350285326086957,0.157214673913044,0.5075,0.406,0.280228260869565,0.125771739130435,"T10R10","H3C-N"
"45",2,12.5597133152174,5.63703668478261,18.19675,0.351148097826087,0.157601902173913,0.50875,0.407,0.28091847826087,0.12608152173913,"T10R10","H3C-N"
"46",3,12.4894836956522,5.60551630434783,18.095,0.351148097826087,0.157601902173913,0.50875,0.407,0.28091847826087,0.12608152173913,"T10R10","H3C-N"
"47",4,12.4190815217391,5.57391847826087,17.993,0.352010869565217,0.157989130434783,0.51,0.408,0.281608695652174,0.126391304347826,"T10R10","H3C-N"
"48",5,12.3486793478261,5.54232065217391,17.891,0.352010869565217,0.157989130434783,0.51,0.408,0.281608695652174,0.126391304347826,"T10R10","H3C-N"
"49",6,12.278277173913,5.51072282608696,17.789,0.352010869565217,0.157989130434783,0.51,0.408,0.281608695652174,0.126391304347826,"T10R10","H3C-N"
"50",7,12.2077024456522,5.47904755434782,17.68675,0.352873641304348,0.158376358695652,0.51125,0.409,0.282298913043478,0.126701086956522,"T10R10","H3C-N"
"51",8,12.1371277173913,5.44737228260869,17.5845,0.352873641304348,0.158376358695652,0.51125,0.409,0.282298913043478,0.126701086956522,"T10R10","H3C-N"
"52",9,12.0665529891304,5.41569701086956,17.48225,0.352873641304348,0.158376358695652,0.51125,0.409,0.282298913043478,0.126701086956522,"T10R10","H3C-N"
"53",10,11.9958057065217,5.38394429347826,17.37975,0.353736413043478,0.158763586956522,0.5125,0.41,0.282989130434783,0.127010869565217,"T10R10","H3C-N"
"54",11,11.925058423913,5.35219157608695,17.27725,0.353736413043478,0.158763586956522,0.5125,0.41,0.282989130434783,0.127010869565217,"T10R10","H3C-N"
"55",12,11.8543111413043,5.32043885869565,17.17475,0.353736413043478,0.158763586956522,0.5125,0.41,0.282989130434783,0.127010869565217,"T10R10","H3C-N"
"56",13,11.7833913043478,5.28860869565217,17.072,0.354599184782609,0.159150815217391,0.51375,0.411,0.283679347826087,0.127320652173913,"T10R10","H3C-N"
"57",14,11.7124714673913,5.25677853260869,16.96925,0.354599184782609,0.159150815217391,0.51375,0.411,0.283679347826087,0.127320652173913,"T10R10","H3C-N"
"58",15,11.6415516304348,5.22494836956522,16.8665,0.354599184782609,0.159150815217391,0.51375,0.411,0.283679347826087,0.127320652173913,"T10R10","H3C-N"
"59",16,11.5704592391304,5.19304076086956,16.7635,0.355461956521739,0.159538043478261,0.515,0.412,0.284369565217391,0.127630434782609,"T10R10","H3C-N"
"60",17,11.4993668478261,5.16113315217391,16.6605,0.355461956521739,0.159538043478261,0.515,0.412,0.284369565217391,0.127630434782609,"T10R10","H3C-N"
"61",18,11.4282744565217,5.12922554347826,16.5575,0.355461956521739,0.159538043478261,0.515,0.412,0.284369565217391,0.127630434782609,"T10R10","H3C-N"
"62",19,11.3571820652174,5.09731793478261,16.4545,0.355461956521739,0.159538043478261,0.515,0.412,0.284369565217391,0.127630434782609,"T10R10","H3C-N"
"63",20,11.2859171195652,5.06533288043478,16.35125,0.35632472826087,0.15992527173913,0.51625,0.413,0.285059782608696,0.127940217391304,"T10R10","H3C-N"
"64",0,3.2,9.9,13.1,NA,NA,NA,NA,NA,NA,"T10R10","HS3D-N"
"65",1,3.30699236641221,10.2310076335878,13.538,0,0,0,0.438,0.106992366412214,0.331007633587786,"T10R10","HS3D-N"
"66",2,3.41398473282443,10.5620152671756,13.976,0,0,0,0.438,0.106992366412214,0.331007633587786,"T10R10","HS3D-N"
"67",3,3.52097709923664,10.8930229007634,14.414,0,0,0,0.438,0.106992366412214,0.331007633587786,"T10R10","HS3D-N"
"68",4,3.52097709923664,10.8930229007634,14.414,0.106992366412214,0.331007633587786,0.438,0.438,0.106992366412214,0.331007633587786,"T10R10","HS3D-N"
"69",5,3.52097709923664,10.8930229007634,14.414,0.106992366412214,0.331007633587786,0.438,0.438,0.106992366412214,0.331007633587786,"T10R10","HS3D-N"
"70",6,3.52097709923664,10.8930229007634,14.414,0.106992366412214,0.331007633587786,0.438,0.438,0.106992366412214,0.331007633587786,"T10R10","HS3D-N"
"71",7,3.52097709923664,10.8930229007634,14.414,0.106992366412214,0.331007633587786,0.438,0.438,0.106992366412214,0.331007633587786,"T10R10","HS3D-N"
"72",8,3.52097709923664,10.8930229007634,14.414,0.106992366412214,0.331007633587786,0.438,0.438,0.106992366412214,0.331007633587786,"T10R10","HS3D-N"
"73",9,3.52097709923664,10.8930229007634,14.414,0.106992366412214,0.331007633587786,0.438,0.438,0.106992366412214,0.331007633587786,"T10R10","HS3D-N"
"74",10,3.52097709923664,10.8930229007634,14.414,0.106992366412214,0.331007633587786,0.438,0.438,0.106992366412214,0.331007633587786,"T10R10","HS3D-N"
"75",11,3.52097709923664,10.8930229007634,14.414,0.106992366412214,0.331007633587786,0.438,0.438,0.106992366412214,0.331007633587786,"T10R10","HS3D-N"
"76",12,3.52097709923664,10.8930229007634,14.414,0.106992366412214,0.331007633587786,0.438,0.438,0.106992366412214,0.331007633587786,"T10R10","HS3D-N"
"77",13,3.52097709923664,10.8930229007634,14.414,0.106992366412214,0.331007633587786,0.438,0.438,0.106992366412214,0.331007633587786,"T10R10","HS3D-N"
"78",14,3.52097709923664,10.8930229007634,14.414,0.106992366412214,0.331007633587786,0.438,0.438,0.106992366412214,0.331007633587786,"T10R10","HS3D-N"
"79",15,3.52097709923664,10.8930229007634,14.414,0.106992366412214,0.331007633587786,0.438,0.438,0.106992366412214,0.331007633587786,"T10R10","HS3D-N"
"80",16,3.52097709923664,10.8930229007634,14.414,0.106992366412214,0.331007633587786,0.438,0.438,0.106992366412214,0.331007633587786,"T10R10","HS3D-N"
"81",17,3.52097709923664,10.8930229007634,14.414,0.106992366412214,0.331007633587786,0.438,0.438,0.106992366412214,0.331007633587786,"T10R10","HS3D-N"
"82",18,3.52097709923664,10.8930229007634,14.414,0.106992366412214,0.331007633587786,0.438,0.438,0.106992366412214,0.331007633587786,"T10R10","HS3D-N"
"83",19,3.52097709923664,10.8930229007634,14.414,0.106992366412214,0.331007633587786,0.438,0.438,0.106992366412214,0.331007633587786,"T10R10","HS3D-N"
"84",20,3.52097709923664,10.8930229007634,14.414,0.106992366412214,0.331007633587786,0.438,0.438,0.106992366412214,0.331007633587786,"T10R10","HS3D-N"
"85",0,13,13.1,26.1,NA,NA,NA,NA,NA,NA,"T10R10","SH3C-N"
"86",1,12.9543007662835,13.0539492337165,26.00825,0.228496168582375,0.230253831417624,0.45875,0.367,0.1827969348659,0.1842030651341,"T10R10","SH3C-N"
"87",2,12.9084770114943,13.0077729885057,25.91625,0.22911877394636,0.23088122605364,0.46,0.368,0.183295019157088,0.184704980842912,"T10R10","SH3C-N"
"88",3,12.8625287356322,12.9614712643678,25.824,0.229741379310345,0.231508620689655,0.46125,0.369,0.183793103448276,0.185206896551724,"T10R10","SH3C-N"
"89",4,12.8164559386973,12.9150440613027,25.7315,0.230363984674329,0.232136015325671,0.4625,0.37,0.184291187739464,0.185708812260536,"T10R10","SH3C-N"
"90",5,12.7702586206896,12.8684913793103,25.63875,0.230986590038314,0.232763409961686,0.46375,0.371,0.184789272030651,0.186210727969349,"T10R10","SH3C-N"
"91",6,12.7239367816092,12.8218132183908,25.54575,0.231609195402299,0.233390804597701,0.465,0.372,0.185287356321839,0.186712643678161,"T10R10","SH3C-N"
"92",7,12.6776149425287,12.7751350574713,25.45275,0.231609195402299,0.233390804597701,0.465,0.372,0.185287356321839,0.186712643678161,"T10R10","SH3C-N"
"93",8,12.6311685823755,12.7283314176245,25.3595,0.232231800766283,0.234018199233717,0.46625,0.373,0.185785440613027,0.187214559386973,"T10R10","SH3C-N"
"94",9,12.5845977011494,12.6814022988506,25.266,0.232854406130268,0.234645593869732,0.4675,0.374,0.186283524904214,0.187716475095786,"T10R10","SH3C-N"
"95",10,12.5379022988506,12.6343477011494,25.17225,0.233477011494253,0.235272988505747,0.46875,0.375,0.186781609195402,0.188218390804598,"T10R10","SH3C-N"
"96",11,12.4910823754789,12.5871676245211,25.07825,0.234099616858237,0.235900383141763,0.47,0.376,0.18727969348659,0.18872030651341,"T10R10","SH3C-N"
"97",12,12.4441379310345,12.5398620689655,24.984,0.234722222222222,0.236527777777778,0.47125,0.377,0.187777777777778,0.189222222222222,"T10R10","SH3C-N"
"98",13,12.39719348659,12.49255651341,24.88975,0.234722222222222,0.236527777777778,0.47125,0.377,0.187777777777778,0.189222222222222,"T10R10","SH3C-N"
"99",14,12.3501245210728,12.4451254789272,24.79525,0.235344827586207,0.237155172413793,0.4725,0.378,0.188275862068965,0.189724137931035,"T10R10","SH3C-N"
"100",15,12.3029310344827,12.3975689655172,24.7005,0.235967432950191,0.237782567049809,0.47375,0.379,0.188773946360153,0.190226053639847,"T10R10","SH3C-N"
"101",16,12.2556130268199,12.3498869731801,24.6055,0.236590038314176,0.238409961685824,0.475,0.38,0.189272030651341,0.190727969348659,"T10R10","SH3C-N"
"102",17,12.2081704980843,12.3020795019157,24.51025,0.237212643678161,0.239037356321839,0.47625,0.381,0.189770114942529,0.191229885057471,"T10R10","SH3C-N"
"103",18,12.1607279693486,12.2542720306513,24.415,0.237212643678161,0.239037356321839,0.47625,0.381,0.189770114942529,0.191229885057471,"T10R10","SH3C-N"
"104",19,12.1131609195402,12.2063390804598,24.3195,0.237835249042145,0.239664750957855,0.4775,0.382,0.190268199233716,0.191731800766284,"T10R10","SH3C-N"
"105",20,12.065469348659,12.158280651341,24.22375,0.23845785440613,0.24029214559387,0.47875,0.383,0.190766283524904,0.192233716475096,"T10R10","SH3C-N"
